task_id	hash	name	status	exit	submit	start	complete	duration	realtime	%cpu	%mem	peak_rss	peak_vmem	cpus	memory	container
1	c9/00e643	M3_SHARED_PREPROCESSING:M3_PREFLIGHT (synthetic_source_gate)	CACHED	0	1788767683235	1788767683303	1788767683305	70	9	-	-	-	-	1	1073741824	-
2	6f/c2ec12	M3_SHARED_PREPROCESSING:M3_REFERENCE_FAIDX (synthetic_reference)	CACHED	0	1788767683321	1788767683376	1788767683377	56	15	-	-	-	-	1	1073741824	-
3	2a/09117c	M3_SHARED_PREPROCESSING:M3_BWA_INDEX (stage)	CACHED	0	1788767683330	1788767683377	1788767683382	52	15	-	-	-	-	1	1073741824	-
4	46/0ef35a	M3_SHARED_PREPROCESSING:M3_REFERENCE_METADATA (synthetic_reference)	CACHED	0	1788767683398	1788767683461	1788767683462	64	20	-	-	-	-	1	2147483648	-
5	83/ca7825	M3_SHARED_PREPROCESSING:M3_FASTQ_VALIDATE (SYN_L001)	CACHED	0	1788767683478	1788767683549	1788767683553	75	9	-	-	-	-	1	1073741824	-
6	67/64259e	M3_SHARED_PREPROCESSING:M3_FASTQ_VALIDATE (SYN_L002)	CACHED	0	1788767683474	1788767683548	1788767683549	75	11	-	-	-	-	1	1073741824	-
10	cc/3c4075	M3_SHARED_PREPROCESSING:M3_ALIGN (SYN_L002)	CACHED	0	1788767683584	1788767683648	1788767683705	121	16	-	-	-	-	1	1073741824	-
7	d2/67a850	M3_SHARED_PREPROCESSING:M3_ALIGN (SYN_L001)	CACHED	0	1788767683587	1788767683648	1788767683693	106	12	-	-	-	-	1	1073741824	-
8	7d/f5bffa	M3_SHARED_PREPROCESSING:M3_FASTQC (SYN_L001)	CACHED	0	1788767683591	1788767683648	1788767683653	62	14	-	-	-	-	1	1073741824	-
9	89/91c2f5	M3_SHARED_PREPROCESSING:M3_FASTQC (SYN_L002)	CACHED	0	1788767683580	1788767683647	1788767683647	67	13	-	-	-	-	1	1073741824	-
11	de/dcd5e3	M3_SHARED_PREPROCESSING:M3_SORT (SYN_L002)	CACHED	0	1788767683712	1788767683747	1788767683753	41	12	-	-	-	-	1	1073741824	-
12	db/1f9b2c	M3_SHARED_PREPROCESSING:M3_SORT (SYN_L001)	CACHED	0	1788767683700	1788767683705	1788767683747	47	11	-	-	-	-	1	1073741824	-
13	bf/97b929	M3_SHARED_PREPROCESSING:M3_MERGE (SYNTHETIC01)	CACHED	0	1788767683762	1788767683804	1788767683804	42	11	-	-	-	-	1	1073741824	-
14	30/4bb430	M3_SHARED_PREPROCESSING:M3_MARKDUP (SYNTHETIC01)	CACHED	0	1788767683812	1788767683851	1788767683851	39	12	-	-	-	-	1	2147483648	-
15	7c/5e9374	M3_SHARED_PREPROCESSING:M3_PRE_BQSR (SYNTHETIC01)	CACHED	0	1788767683859	1788767683902	1788767683903	44	10	-	-	-	-	1	1073741824	-
16	5a/28e8ec	M3_SHARED_PREPROCESSING:M3_RECALIBRATE (SYNTHETIC01)	CACHED	0	1788767683912	1788767683977	1788767683978	66	10	-	-	-	-	1	2147483648	-
17	0f/1dd811	M3_SHARED_PREPROCESSING:M3_APPLY_BQSR (SYNTHETIC01)	CACHED	0	1788767683986	1788767684041	1788767684041	55	7	-	-	-	-	1	2147483648	-
18	a2/76bdd6	M3_SHARED_PREPROCESSING:M3_BAM_SUMMARY (SYNTHETIC01)	CACHED	0	1788767684047	1788767684081	1788767684082	35	9	-	-	-	-	1	1073741824	-
19	bf/1c772f	M3_SHARED_PREPROCESSING:M3_PICARD_QC (SYNTHETIC01)	CACHED	0	1788767684090	1788767684139	1788767684152	62	12	-	-	-	-	1	2147483648	-
20	d0/f6bfe0	M3_SHARED_PREPROCESSING:M3_MOSDEPTH (SYNTHETIC01)	CACHED	0	1788767684093	1788767684139	1788767684140	47	12	-	-	-	-	1	1073741824	-
21	bd/afece2	M3_SHARED_PREPROCESSING:M3_MULTIQC (stage)	CACHED	0	1788767684160	1788767684239	1788767684240	80	9	-	-	-	-	1	1073741824	-
22	d2/b42c9e	M3_SHARED_PREPROCESSING:M3_COLLECT (SYNTHETIC01)	CACHED	0	1788767684258	1788767684340	1788767684563	305	6	-	-	-	-	1	1073741824	-
