task_id	hash	name	status	exit	submit	start	complete	duration	realtime	%cpu	%mem	peak_rss	peak_vmem	cpus	memory	container
1	cb/eb18ff	M3_SHARED_PREPROCESSING:M3_PREFLIGHT (synthetic_source_gate)	CACHED	0	1788771738645	1788771738667	1788771738962	317	242	93.2	0.1	21803008	34516992	1	1073741824	-
2	7a/d03333	M3_SHARED_PREPROCESSING:M3_REFERENCE_FAIDX (synthetic_reference)	CACHED	0	1788771739069	1788771739165	1788771742433	3364	0	100.0	0.0	3338240	4497408	1	1073741824	quay.io/biocontainers/samtools@sha256:a130447589651ed09252aa95a5e4f4132942cdb54d835d81a04a9a930d656561
3	88/80861e	M3_SHARED_PREPROCESSING:M3_BWA_INDEX (stage)	CACHED	0	1788771739050	1788771739065	1788771743337	4287	3000	2.1	0.0	8884224	14905344	1	1073741824	quay.io/biocontainers/bwa-mem2@sha256:374f4b910b4b04d32772fccd4cab1cdcd0758356856a960cfa8b1edebfd38c9f
4	ed/dfe084	M3_SHARED_PREPROCESSING:M3_REFERENCE_METADATA (synthetic_reference)	CACHED	0	1788771742468	1788771742533	1788771816652	74184	5327	248.6	1.5	250769408	7484583936	1	2147483648	registry-1.docker.io/broadinstitute/gatk@sha256:7da5cf586e1c463f0c72908f9ac7dec8c29e37912c82d6e7b3c250f27fcb3891
5	7c/407d22	M3_SHARED_PREPROCESSING:M3_FASTQ_VALIDATE (SYN_L001)	CACHED	0	1788771816687	1788771816752	1788771817140	453	344	78.9	0.1	22937600	36245504	1	1073741824	-
6	ac/b584f6	M3_SHARED_PREPROCESSING:M3_FASTQ_VALIDATE (SYN_L002)	CACHED	0	1788771816696	1788771816754	1788771817149	453	337	78.9	0.1	23347200	36425728	1	1073741824	-
10	bb/de7732	M3_SHARED_PREPROCESSING:M3_ALIGN (SYN_L002)	CACHED	0	1788771817232	1788771817254	1788771820242	3010	2000	2.1	0.0	6803456	10596352	1	1073741824	quay.io/biocontainers/bwa-mem2@sha256:374f4b910b4b04d32772fccd4cab1cdcd0758356856a960cfa8b1edebfd38c9f
7	65/d21646	M3_SHARED_PREPROCESSING:M3_ALIGN (SYN_L001)	CACHED	0	1788771817208	1788771817251	1788771820241	3033	2000	2.1	0.0	6782976	10596352	1	1073741824	quay.io/biocontainers/bwa-mem2@sha256:374f4b910b4b04d32772fccd4cab1cdcd0758356856a960cfa8b1edebfd38c9f
8	3d/365ddb	M3_SHARED_PREPROCESSING:M3_FASTQC (SYN_L001)	CACHED	0	1788771817180	1788771817249	1788771832648	15468	5000	105.5	1.9	323977216	3677552640	1	1073741824	quay.io/biocontainers/fastqc@sha256:e194048df39c3145d9b4e0a14f4da20b59d59250465b6f2a9cb698445fd45900
9	13/ecef23	M3_SHARED_PREPROCESSING:M3_FASTQC (SYN_L002)	CACHED	0	1788771817256	1788771817350	1788771832531	15275	5000	101.2	1.4	237617152	3672363008	1	1073741824	quay.io/biocontainers/fastqc@sha256:e194048df39c3145d9b4e0a14f4da20b59d59250465b6f2a9cb698445fd45900
11	85/767829	M3_SHARED_PREPROCESSING:M3_SORT (SYN_L002)	CACHED	0	1788771820289	1788771820343	1788771820831	542	0	90.9	0.0	3264512	4497408	1	1073741824	quay.io/biocontainers/samtools@sha256:a130447589651ed09252aa95a5e4f4132942cdb54d835d81a04a9a930d656561
12	a1/05cd90	M3_SHARED_PREPROCESSING:M3_SORT (SYN_L001)	CACHED	0	1788771820314	1788771820344	1788771820862	548	0	55.2	0.0	3424256	4497408	1	1073741824	quay.io/biocontainers/samtools@sha256:a130447589651ed09252aa95a5e4f4132942cdb54d835d81a04a9a930d656561
13	ba/991aad	M3_SHARED_PREPROCESSING:M3_MERGE (SYNTHETIC01)	CACHED	0	1788771820906	1788771820963	1788771821321	415	0	106.7	0.0	3387392	4497408	1	1073741824	quay.io/biocontainers/samtools@sha256:a130447589651ed09252aa95a5e4f4132942cdb54d835d81a04a9a930d656561
14	c7/519766	M3_SHARED_PREPROCESSING:M3_MARKDUP (SYNTHETIC01)	CACHED	0	1788771821370	1788771821423	1788771827394	6024	5138	210.4	1.5	254283776	7487340544	1	2147483648	registry-1.docker.io/broadinstitute/gatk@sha256:7da5cf586e1c463f0c72908f9ac7dec8c29e37912c82d6e7b3c250f27fcb3891
15	43/291b87	M3_SHARED_PREPROCESSING:M3_PRE_BQSR (SYNTHETIC01)	CACHED	0	1788771827435	1788771827499	1788771828161	726	0	24.6	0.0	3432448	4497408	1	1073741824	quay.io/biocontainers/samtools@sha256:a130447589651ed09252aa95a5e4f4132942cdb54d835d81a04a9a930d656561
16	bc/0cb36e	M3_SHARED_PREPROCESSING:M3_RECALIBRATE (SYNTHETIC01)	CACHED	0	1788771828239	1788771828368	1788771836377	8138	7482	194.2	2.0	344772608	7488069632	1	2147483648	registry-1.docker.io/broadinstitute/gatk@sha256:7da5cf586e1c463f0c72908f9ac7dec8c29e37912c82d6e7b3c250f27fcb3891
